64,340,110,120
84,360,70,80
104,380,30,40
190,100,280,80
240,100,175,40
260,250,100,100
285,275,50,50
550,60,110,100
575,85,60,50
550,360,115,120
585,385,50,50
600,400,20,20
900,60,135,80
920,80,95,40
930,90,75,20
1050,220,160,80
1065,235,130,50
1080,250,100,20
990,320,120,100
1005,335,90,70
1020,350,60,40

180,60,520,80
205,70,470,60
230,90,420,20
350,320,115,150
370,340,75,110
390,360,35,70
400,370,15,50
170,430,70,60
180,440,50,40
195,455,20,10
730,220,150,240
755,245,100,190
780,270,50,140
800,290,10,100
1000,110,150,100
1015,125,80,70
1025,135,100,50
1050,145,50,30
1010,270,100,50
1010,270,100,50
1035,285,50,30
1010,380,100,50
1035,395,50,20
1010,530,200,50
1020,540,180,30
1035,550,150,10
